Sample_ID,Biosensor_Type,Pathogen_ID,Pathogen_Class,Microbial_Signature,Signal_Quality,Normalized_Data,Classification_Label
sample_0153,Electrochemical,pathogen_0153,Virus,"[0.47424226743060116, 0.6488656307490552, 0.42694711164694465]",0,"[0.7308790063100312, 1.0, 0.6579900235339539]",HIV
sample_0154,Optical,pathogen_0154,Fungi,"[0.21460302252824348, 0.4938607175946986, 0.6764103896252882]",1,"[0.3172674840892485, 0.7301199466617938, 1.0]",Penicillium
sample_0155,Mass-based,pathogen_0155,Fungi,"[0.4435231711353814, 0.6122144203983433, 0.642051686155265]",1,"[0.6907904467805196, 0.9535282495158711, 1.0]",Aspergillus
sample_0156,Electrochemical,pathogen_0156,Virus,"[0.4838823385396911, 0.5904251892138842, 0.47917628604133894]",0,"[0.8195489409656649, 1.0, 0.8115783249006254]",Hepatitis
sample_0157,Electrochemical,pathogen_0157,Bacteria,"[0.5516462871971393, 0.7172989503908719, 0.439202304315481]",1,"[0.7690604968772575, 1.0, 0.6123002188643244]",L. monocytogenes
sample_0158,Mass-based,pathogen_0158,Virus,"[0.7988190530322283, 0.5941783498442545, 0.7126912124975139]",1,"[1.0, 0.743820953680085, 0.8921810387373927]",Influenza
sample_0159,Optical,pathogen_0159,Virus,"[0.17959590134021253, 0.6182704654296137, 0.5717026656106584]",1,"[0.29048112659791675, 1.0, 0.9246805363950273]",Influenza
sample_0160,Electrochemical,pathogen_0160,Virus,"[0.4663473242170326, 0.6649204748467297, 0.4512927522501552]",1,"[0.7013580448466864, 1.0, 0.6787168831794244]",HIV
sample_0161,Electrochemical,pathogen_0161,Virus,"[0.2769811666651225, 0.6364202719852284, 0.6864023374562438]",1,"[0.40352596655132933, 0.9271825535206579, 1.0]",Hepatitis
sample_0162,Optical,pathogen_0162,Fungi,"[0.5364397689633892, 0.6057989313348935, 0.46852467809395165]",1,"[0.8855079486213856, 1.0, 0.7733996444357297]",Penicillium
sample_0163,Mass-based,pathogen_0163,Bacteria,"[0.5792042067188464, 0.7361979319173643, 0.24682009171298258]",1,"[0.7867506571369453, 1.0, 0.3352632233972199]",E. coli
sample_0164,Electrochemical,pathogen_0164,Bacteria,"[0.509391374638066, 0.5600767648636242, 0.4980957534926329]",1,"[0.9095027799664216, 1.0, 0.8893347925510116]",Salmonella
sample_0165,Mass-based,pathogen_0165,Virus,"[0.6377378501990207, 0.5637091292788827, 0.8361466985029271]",1,"[0.7627104805183754, 0.674174914866221, 1.0]",Hepatitis
sample_0166,Optical,pathogen_0166,Virus,"[0.42365236848425536, 0.5983692594989459, 0.39844185391802706]",1,"[0.7080115860881748, 1.0, 0.6658795511180984]",HIV
sample_0167,Mass-based,pathogen_0167,Bacteria,"[1.025233496466135, 0.7336740174358943, 0.49829646184607723]",1,"[1.0, 0.7156165107410034, 0.4860321707822163]",Salmonella
sample_0168,Optical,pathogen_0168,Bacteria,"[0.29479788002310514, 0.2461527868189361, 0.35035463070585454]",1,"[0.8414270975359452, 0.7025817992558441, 1.0]",L. monocytogenes
sample_0169,Mass-based,pathogen_0169,Virus,"[0.4688622804523629, 0.5086222701300079, 0.6948113563086902]",1,"[0.6748051484697627, 0.7320292990491043, 1.0]",Influenza
sample_0170,Electrochemical,pathogen_0170,Fungi,"[0.7849832291840235, 0.6040207418129115, 0.5353670264035931]",1,"[1.0, 0.7694696133072558, 0.682010782523466]",Candida
sample_0171,Optical,pathogen_0171,Fungi,"[0.42811979089339314, 0.5675577612090436, 0.48503095944220853]",0,"[0.7543193312719189, 1.0, 0.8545931226611512]",Aspergillus
sample_0172,Electrochemical,pathogen_0172,Bacteria,"[0.2916214973641033, 0.40298255292907925, 0.31608444870416647]",1,"[0.7236578736336152, 1.0, 0.784362614229093]",E. coli
sample_0173,Optical,pathogen_0173,Bacteria,"[0.22543916837778663, 0.41795427551299036, 0.6069514221706565]",1,"[0.37142868464092654, 0.6886124000142374, 1.0]",Salmonella
sample_0174,Optical,pathogen_0174,Fungi,"[0.6663451628679542, 0.3845477014729714, 0.09075705499206344]",1,"[1.0, 0.5770998619062161, 0.13620126632486448]",Candida
sample_0175,Mass-based,pathogen_0175,Fungi,"[0.4396515828559855, 0.5521064607238426, 0.724893711573869]",1,"[0.6065048928365322, 0.7616378124251133, 1.0]",Candida
sample_0176,Electrochemical,pathogen_0176,Bacteria,"[0.4742460791831047, 0.5962812038041748, 0.331812920324303]",1,"[0.7953396420304609, 1.0, 0.5564705347198466]",L. monocytogenes
sample_0177,Mass-based,pathogen_0177,Fungi,"[0.836841396265445, 0.5394883630877573, 0.5568875182556943]",1,"[1.0, 0.644672175032594, 0.6654636359301832]",Candida
sample_0178,Optical,pathogen_0178,Bacteria,"[0.2613237238944724, 0.0642476032986457, 0.16647810186718612]",0,"[1.0, 0.24585446105379297, 0.6370569781655692]",Salmonella
sample_0179,Electrochemical,pathogen_0179,Virus,"[0.44346419478060595, 0.49426152231647447, 0.46777114652224816]",1,"[0.8972258101383358, 1.0, 0.9464041310153523]",Hepatitis
sample_0180,Electrochemical,pathogen_0180,Virus,"[0.56065553733557, 0.39321032782096815, 0.4665526370185827]",1,"[1.0, 0.7013403090418767, 0.8321555856485481]",Influenza
sample_0181,Mass-based,pathogen_0181,Virus,"[0.6336709959814398, 0.684871137950661, 0.7301561299586035]",1,"[0.8678568459287825, 0.9379790292104924, 1.0]",HIV
sample_0182,Optical,pathogen_0182,Virus,"[0.6095638902710585, 0.42116502193793154, 0.5643792930797653]",1,"[1.0, 0.6909284304072696, 0.9258738945786296]",HIV
sample_0183,Mass-based,pathogen_0183,Fungi,"[0.8780310622251248, 0.49008761639897663, 0.5988846843048439]",1,"[1.0, 0.5581666042166963, 0.6820768764001784]",Candida
sample_0184,Electrochemical,pathogen_0184,Fungi,"[0.6012803835053947, 0.45719658882802144, 0.23764536297045508]",1,"[1.0, 0.7603717024038245, 0.39523219032194307]",Candida
sample_0185,Electrochemical,pathogen_0185,Fungi,"[0.4852747275518777, 0.3851181599198443, 0.42232501580178605]",1,"[1.0, 0.7936085232847279, 0.8702802594570266]",Candida
sample_0186,Mass-based,pathogen_0186,Fungi,"[0.8460658713394986, 0.5148749768448262, 0.6857358497890683]",1,"[1.0, 0.6085518802805174, 0.8104993630146143]",Penicillium
sample_0187,Optical,pathogen_0187,Bacteria,"[0.23825984294356095, 0.14404946776618438, 0.15183825848613233]",1,"[1.0, 0.6045897872949864, 0.6372801081804617]",Salmonella
sample_0188,Mass-based,pathogen_0188,Bacteria,"[0.5880573376167795, 0.6369162975107273, 0.7288246244736485]",1,"[0.8068571201768463, 0.873895140371668, 1.0]",L. monocytogenes
sample_0189,Electrochemical,pathogen_0189,Virus,"[0.5712036361649162, 0.6123099204339031, 0.3472941461177441]",1,"[0.9328668654594758, 1.0, 0.5671868681657811]",HIV
sample_0190,Optical,pathogen_0190,Fungi,"[0.20648810251178734, 0.5498417913198881, 0.6227102615491698]",1,"[0.33159579223584523, 0.8829817417043996, 1.0]",Aspergillus
sample_0191,Electrochemical,pathogen_0191,Virus,"[0.3512596569689717, 0.5537879894295696, 0.5551107004315295]",1,"[0.6327740695611002, 0.9976172122048239, 1.0]",HIV
sample_0192,Electrochemical,pathogen_0192,Fungi,"[0.5868933981618378, 0.5403567932769645, 0.520121835457834]",1,"[1.0, 0.9207068864113536, 0.8862288059243233]",Aspergillus
sample_0193,Electrochemical,pathogen_0193,Virus,"[0.5306573223951153, 0.5058345021256384, 0.56817726461724]",1,"[0.9339643724614702, 0.8902758586554855, 1.0]",Hepatitis
sample_0194,Mass-based,pathogen_0194,Virus,"[0.5385113802620789, 0.47217469299526504, 0.6070890103923354]",1,"[0.8870385907892852, 0.7777684736709678, 1.0]",Hepatitis
sample_0195,Electrochemical,pathogen_0195,Bacteria,"[0.3444134924637381, 0.5855018668136172, 0.3558559531409926]",1,"[0.5882363694894508, 1.0, 0.6077793655511473]",L. monocytogenes
sample_0196,Optical,pathogen_0196,Fungi,"[0.23341862703221444, 0.4210966053729257, 0.30039675103669766]",0,"[0.5543113481655771, 1.0, 0.7133677811785362]",Penicillium
sample_0197,Electrochemical,pathogen_0197,Virus,"[0.4414431826959133, 0.39535746036249636, 0.38652200839945183]",1,"[1.0, 0.8956021428353036, 0.8755872183571725]",HIV
sample_0198,Mass-based,pathogen_0198,Fungi,"[0.7808272957671852, 0.5322457685208939, 0.4957285579509092]",1,"[1.0, 0.6816433946484249, 0.6348760611190489]",Aspergillus
sample_0199,Mass-based,pathogen_0199,Virus,"[0.8841927505795253, 0.920051475021763, 0.8163797345928211]",1,"[0.9610253062836626, 1.0, 0.8873196302125491]",Influenza
sample_0200,Optical,pathogen_0200,Bacteria,"[0.3459888063472987, 0.4608673587287381, 0.42594148351540895]",1,"[0.7507340231290806, 1.0, 0.9242170777516787]",L. monocytogenes
sample_0201,Electrochemical,pathogen_0201,Bacteria,"[0.5069853387513624, 0.42384804711203633, 0.4396086140231794]",1,"[1.0, 0.8360163790059842, 0.8671032087552611]",Salmonella
sample_0202,Electrochemical,pathogen_0202,Bacteria,"[0.5988247603024918, 0.49798933277340335, 0.3800473944189098]",1,"[1.0, 0.8316111253012448, 0.6346554444858488]",L. monocytogenes
sample_0203,Optical,pathogen_0203,Virus,"[0.30668651148785164, 0.18647372512700977, 0.5795436319240944]",1,"[0.5291862330876579, 0.32175959643955354, 1.0]",HIV
sample_0204,Electrochemical,pathogen_0204,Virus,"[0.5456720658325098, 0.5716634894443341, 0.35854210851294244]",1,"[0.9545337001719519, 1.0, 0.6271908476461405]",Influenza
sample_0205,Optical,pathogen_0205,Fungi,"[-0.023827471370334863, 0.3384160631066484, 0.31244045758453054]",1,"[-0.07040880728769035, 1.0, 0.9232435798594705]",Candida
sample_0206,Electrochemical,pathogen_0206,Virus,"[0.31015067685590236, 0.4298080139643231, 0.48542223911952687]",1,"[0.6389296819578411, 0.8854312376456455, 1.0]",Hepatitis
sample_0207,Mass-based,pathogen_0207,Virus,"[0.6331041866893429, 0.5494781958897361, 0.44969747109991653]",1,"[1.0, 0.8679111707712635, 0.7103056346088863]",Influenza
sample_0208,Mass-based,pathogen_0208,Bacteria,"[0.759492014035972, 0.41053926227010695, 0.519446509542748]",1,"[1.0, 0.5405445411973252, 0.6839393962582802]",E. coli
sample_0209,Optical,pathogen_0209,Virus,"[0.4498904333149108, -0.09714792679024054, 0.8055999004955506]",1,"[0.5584539335694662, -0.12059078797115255, 1.0]",HIV
sample_0210,Mass-based,pathogen_0210,Bacteria,"[0.7673818748397322, 0.747931918194292, 0.34450282758723855]",1,"[1.0, 0.974654135987376, 0.4489327137928401]",E. coli
sample_0211,Optical,pathogen_0211,Fungi,"[0.5362493532317352, 0.5453510499069266, 0.4225023511485177]",1,"[0.9833103893780991, 1.0, 0.774734643346932]",Aspergillus
sample_0212,Electrochemical,pathogen_0212,Virus,"[0.5582132780678323, 0.5441919144926421, 0.4424818753816805]",1,"[1.0, 0.9748817089702293, 0.7926752959249951]",HIV
sample_0213,Electrochemical,pathogen_0213,Fungi,"[0.4932123403210072, 0.3242914339268528, 0.5577251415658977]",1,"[0.8843286837244578, 0.5814538555969622, 1.0]",Penicillium
sample_0214,Electrochemical,pathogen_0214,Fungi,"[0.6990603165695825, 0.5429555469519873, 0.5407955490210893]",0,"[1.0, 0.776693418411118, 0.7736035592391691]",Candida
sample_0215,Mass-based,pathogen_0215,Fungi,"[0.45224489020288894, 0.5310907654225089, 0.5417183392914029]",1,"[0.8348340039483432, 0.9803817351230983, 1.0]",Aspergillus
sample_0216,Mass-based,pathogen_0216,Bacteria,"[0.5499474160718846, 0.6360331210290991, 0.6687448172826356]",0,"[0.8223576495239694, 0.9510849349286078, 1.0]",E. coli
sample_0217,Mass-based,pathogen_0217,Fungi,"[0.45428502015942723, 0.45998047753697785, 0.5904803616973306]",1,"[0.7693482283705234, 0.7789936928889015, 1.0]",Candida
sample_0218,Electrochemical,pathogen_0218,Virus,"[0.36160655777003414, 0.6292430119694548, 0.34033739012814457]",1,"[0.5746691673829626, 1.0, 0.540867969376298]",HIV
sample_0219,Optical,pathogen_0219,Bacteria,"[0.5981345167767891, 0.29597118708417874, 0.419293906143228]",1,"[1.0, 0.494823787597312, 0.7010026915060972]",E. coli
sample_0220,Electrochemical,pathogen_0220,Virus,"[0.6720907457335015, 0.4992077096860866, 0.438467362974071]",1,"[1.0, 0.742768313438485, 0.6523930968511398]",HIV
sample_0221,Mass-based,pathogen_0221,Bacteria,"[0.821991971898567, 0.49737599942122246, 0.6819984826552525]",0,"[1.0, 0.6050862008693659, 0.8296899555843965]",E. coli
sample_0222,Electrochemical,pathogen_0222,Virus,"[0.5240060622175602, 0.229854197341606, 0.5492090490205537]",0,"[0.9541103941241684, 0.41851859096553945, 1.0]",Hepatitis
sample_0223,Electrochemical,pathogen_0223,Virus,"[0.5847482731148068, 0.4243185521153656, 0.34635752521596985]",1,"[1.0, 0.7256431042628438, 0.5923190219459914]",Hepatitis
sample_0224,Electrochemical,pathogen_0224,Fungi,"[0.4005603130331651, 0.4601820061977049, 0.6488383654167179]",1,"[0.6173499200774053, 0.7092398210795564, 1.0]",Penicillium
sample_0225,Optical,pathogen_0225,Fungi,"[0.3304876573228734, 0.5549964061840582, 0.702065898609112]",1,"[0.47073594939964236, 0.7905189630824992, 1.0]",Penicillium
sample_0226,Mass-based,pathogen_0226,Bacteria,"[0.4918471882073827, 0.8070086679228143, 0.5591822858437443]",1,"[0.6094695233861168, 1.0, 0.6929074098832688]",L. monocytogenes
sample_0227,Mass-based,pathogen_0227,Bacteria,"[0.8852240833460441, 0.6070250385074394, 0.6515272121761503]",1,"[1.0, 0.6857303703407563, 0.736002583338507]",L. monocytogenes
sample_0228,Mass-based,pathogen_0228,Virus,"[0.5995893073871766, 0.593677160480907, 0.3899478648581849]",1,"[1.0, 0.9901396725501445, 0.6503582703258272]",Hepatitis
sample_0229,Mass-based,pathogen_0229,Bacteria,"[0.5722758434288298, 0.6125285155782074, 0.395385705554173]",1,"[0.9342844110508383, 1.0, 0.6454976307200024]",Salmonella
sample_0230,Mass-based,pathogen_0230,Virus,"[0.678882972420612, 0.8522851997525913, 0.8352289494415424]",0,"[0.7965443640434963, 1.0, 0.9799876258369848]",HIV
sample_0231,Optical,pathogen_0231,Bacteria,"[0.12399292884289431, 0.4272117939992447, 0.7469548394934337]",1,"[0.16599789209074978, 0.5719379156696665, 1.0]",E. coli
sample_0232,Mass-based,pathogen_0232,Virus,"[0.6842943836491748, 0.5566385151280007, 0.6840086417081829]",1,"[1.0, 0.8134489021517076, 0.9995824283410479]",HIV
sample_0233,Electrochemical,pathogen_0233,Virus,"[0.4894479049263174, 0.42408190515579325, 0.656465453856217]",1,"[0.7455805968938606, 0.6460079546679058, 1.0]",Hepatitis
sample_0234,Electrochemical,pathogen_0234,Virus,"[0.5793599770957198, 0.5203544947656844, 0.33801074428807376]",1,"[1.0, 0.8981540239872545, 0.5834209431975119]",Hepatitis
sample_0235,Mass-based,pathogen_0235,Bacteria,"[0.5124733795238141, 0.7804137952707318, 0.3774601716961697]",1,"[0.6566687860073424, 1.0, 0.48366670858916033]",L. monocytogenes
sample_0236,Optical,pathogen_0236,Fungi,"[0.14362393695907888, 0.5520700562994736, 0.053574572471984605]",1,"[0.2601552743537484, 1.0, 0.09704306882915376]",Aspergillus
sample_0237,Electrochemical,pathogen_0237,Bacteria,"[0.4747091587029186, 0.6299088929539052, 0.3970083832407576]",1,"[0.7536155847503749, 1.0, 0.6302631819960819]",E. coli
sample_0238,Mass-based,pathogen_0238,Fungi,"[0.5475501780241331, 0.8180777402436615, 0.6474379918226031]",1,"[0.6693131362565216, 1.0, 0.7914137739889683]",Candida
sample_0239,Electrochemical,pathogen_0239,Virus,"[0.48741600382076067, 0.45092370137385196, 0.4496931896501972]",1,"[1.0, 0.9251310950792495, 0.9226065334850281]",Influenza
sample_0240,Mass-based,pathogen_0240,Bacteria,"[0.48062635734047116, 0.5571015818631717, 0.6150370004583483]",1,"[0.7814592568939602, 0.905801734607835, 1.0]",L. monocytogenes
sample_0241,Mass-based,pathogen_0241,Fungi,"[0.5218148271383615, 0.6069999001129093, 0.7063780878675403]",1,"[0.7387188760535448, 0.8593130372225443, 1.0]",Penicillium
sample_0242,Mass-based,pathogen_0242,Virus,"[0.8328338240494348, 0.8271103210154273, 0.6347094168541131]",0,"[1.0, 0.9931276770122297, 0.7621081163202593]",Hepatitis
sample_0243,Optical,pathogen_0243,Bacteria,"[0.32677531055780823, 0.18253576762406998, 0.3684583574508182]",1,"[0.8868717561968348, 0.49540406380505253, 1.0]",L. monocytogenes
sample_0244,Mass-based,pathogen_0244,Virus,"[0.6313761182174745, 0.44654638518819967, 0.6288642657389796]",1,"[1.0, 0.7072589100279983, 0.9960216226017757]",Hepatitis
sample_0245,Electrochemical,pathogen_0245,Bacteria,"[0.48325353024156287, 0.45647089554002646, 0.4398353602124451]",1,"[1.0, 0.9445785017066536, 0.9101544690063321]",Salmonella
sample_0246,Optical,pathogen_0246,Virus,"[0.3200696281358656, 0.26470026291164006, 0.5878549681830099]",1,"[0.5444703973926817, 0.4502815783454161, 1.0]",Hepatitis
sample_0247,Optical,pathogen_0247,Virus,"[0.24655107390802955, 0.16879982816821715, 0.30060991410456617]",1,"[0.8201694699339409, 0.5615244882093299, 1.0]",Hepatitis
sample_0248,Optical,pathogen_0248,Bacteria,"[0.3234281730139885, 0.691328597783492, 0.12337177583763576]",1,"[0.46783566317225994, 1.0, 0.17845605726883718]",L. monocytogenes
sample_0249,Mass-based,pathogen_0249,Bacteria,"[0.630140065425642, 0.7463489626712978, 0.42117776535694174]",1,"[0.8442968329054465, 1.0, 0.5643174793858917]",E. coli
sample_0250,Mass-based,pathogen_0250,Virus,"[0.20803854269687744, 0.9702621477533718, 0.5167581081449024]",1,"[0.21441477767486625, 1.0, 0.5325963806188343]",HIV
sample_0251,Mass-based,pathogen_0251,Bacteria,"[0.4748930480425977, 0.31305229113362615, 0.5427237558738456]",0,"[0.8750179864118295, 0.5768170044990516, 1.0]",L. monocytogenes
sample_0252,Mass-based,pathogen_0252,Bacteria,"[0.4684312187447261, 0.3273628986198061, 0.6862729093410388]",1,"[0.6825727962867062, 0.4770156218670221, 1.0]",L. monocytogenes
sample_0253,Mass-based,pathogen_0253,Bacteria,"[0.8022962909463836, 0.38934886620964404, 0.7424201332346093]",1,"[1.0, 0.48529311502907563, 0.9253690209122808]",L. monocytogenes
sample_0254,Mass-based,pathogen_0254,Virus,"[0.650242905797598, 0.5419907464830153, 0.5356041043451585]",1,"[1.0, 0.8335204300586733, 0.8236984972380101]",Hepatitis
sample_0255,Electrochemical,pathogen_0255,Fungi,"[0.501228690953932, 0.5941434059415402, 0.4726758634735929]",1,"[0.8436156758478769, 1.0, 0.7955585448677033]",Penicillium
sample_0256,Mass-based,pathogen_0256,Bacteria,"[0.6714288077932873, 0.46704394060933274, 0.6164870829756973]",1,"[1.0, 0.6955971134814959, 0.9181719280139901]",E. coli
sample_0257,Electrochemical,pathogen_0257,Virus,"[0.6254807518456122, 0.3810439685311874, 0.4360072365968829]",1,"[1.0, 0.6092017498649434, 0.6970753861095678]",HIV
sample_0258,Electrochemical,pathogen_0258,Bacteria,"[0.42395350599164466, 0.3007712602946081, 0.5558859004523499]",0,"[0.7626628156005653, 0.54106653910426, 1.0]",E. coli
sample_0259,Electrochemical,pathogen_0259,Bacteria,"[0.49470846059562223, 0.5287686665244128, 0.4802020685211626]",1,"[0.935585808908331, 1.0, 0.9081515205458796]",Salmonella
sample_0260,Mass-based,pathogen_0260,Virus,"[0.528516045657316, 0.3436964954225505, 0.543510460034384]",1,"[0.9724119120428347, 0.6323640862418863, 1.0]",HIV
sample_0261,Electrochemical,pathogen_0261,Fungi,"[0.5826264206569347, 0.39953283146079877, 0.3976855070826457]",1,"[1.0, 0.685744444974379, 0.6825737607886703]",Penicillium
sample_0262,Electrochemical,pathogen_0262,Virus,"[0.6506851781310511, 0.5069907131059838, 0.42327396200173556]",0,"[1.0, 0.7791643795578719, 0.6505050003098214]",Hepatitis
sample_0263,Mass-based,pathogen_0263,Fungi,"[0.14907885764968087, 0.7664821736729726, 0.5887659603193616]",1,"[0.19449748835683542, 1.0, 0.7681404480654818]",Aspergillus
sample_0264,Electrochemical,pathogen_0264,Fungi,"[0.523946209548121, 0.4275894585775804, 0.3770342829110773]",1,"[1.0, 0.8160941920857796, 0.7196049442484787]",Aspergillus
sample_0265,Optical,pathogen_0265,Bacteria,"[0.7344432689393868, 0.7397258345796409, 0.26741567421409496]",1,"[0.9928587519952498, 1.0, 0.36150646863112124]",Salmonella
sample_0266,Optical,pathogen_0266,Bacteria,"[0.5150331265721595, 0.47826440982714014, 0.4264445689850637]",1,"[1.0, 0.9286090256179516, 0.8279944473150623]",Salmonella
sample_0267,Mass-based,pathogen_0267,Fungi,"[0.42352491589331975, 0.34407991167136587, 0.43260458447707323]",1,"[0.9790116219070382, 0.7953681584010146, 1.0]",Penicillium
sample_0268,Mass-based,pathogen_0268,Virus,"[0.7772256828381958, 0.5882424512614598, 0.5632192659293961]",0,"[1.0, 0.7568489619557787, 0.724653441549548]",Influenza
sample_0269,Mass-based,pathogen_0269,Fungi,"[0.30841795614407336, 0.40438177130045605, 0.6655064284087351]",1,"[0.4634334740860712, 0.6076301505717332, 1.0]",Candida
sample_0270,Mass-based,pathogen_0270,Virus,"[0.7669471722451712, 0.5421420979945671, 0.5656637906645241]",1,"[1.0, 0.7068832347441784, 0.737552482276703]",Hepatitis
sample_0271,Optical,pathogen_0271,Virus,"[0.5048631556412532, 0.3349677385924865, 0.3776732514329274]",1,"[1.0, 0.6634822423653127, 0.7480705359717225]",Influenza
sample_0272,Optical,pathogen_0272,Fungi,"[0.5396016841550194, 0.4321670647369863, 0.6044885609490127]",1,"[0.8926582221967533, 0.714930095713488, 1.0]",Penicillium
sample_0273,Electrochemical,pathogen_0273,Fungi,"[0.6304891780501677, 0.6515544631340263, 0.4743604201660584]",1,"[0.9676691876492826, 1.0, 0.7280441574820143]",Aspergillus
sample_0274,Optical,pathogen_0274,Fungi,"[0.3375813189773793, 0.5638345011148573, 0.6546263718109802]",1,"[0.5156854864301955, 0.8613073432331283, 1.0]",Aspergillus
sample_0275,Electrochemical,pathogen_0275,Fungi,"[0.5575435275968882, 0.43119945905174867, 0.48052245562652307]",1,"[1.0, 0.7733915608531858, 0.8618563965716908]",Aspergillus
sample_0276,Electrochemical,pathogen_0276,Bacteria,"[0.4877856687639245, 0.4837668675738655, 0.5895109628129533]",1,"[0.8274412174395722, 0.8206240393995191, 1.0]",Salmonella
sample_0277,Mass-based,pathogen_0277,Virus,"[0.6060785581260902, 0.5722975267471078, 0.4935319755163502]",1,"[1.0, 0.9442629492067354, 0.8143036391887576]",Influenza
sample_0278,Mass-based,pathogen_0278,Bacteria,"[0.4562518160184099, 0.583794522416148, 0.55048840471493]",1,"[0.7815280865091409, 1.0, 0.9429489033857766]",L. monocytogenes
sample_0279,Electrochemical,pathogen_0279,Fungi,"[0.519784761902348, 0.38736677877306225, 0.5921641795080151]",1,"[0.877771367957782, 0.6541543581627924, 1.0]",Penicillium
sample_0280,Optical,pathogen_0280,Virus,"[0.3102445572955858, 0.2447704716374208, 0.4315583118741173]",1,"[0.7188937132233525, 0.567178211849199, 1.0]",Influenza
sample_0281,Mass-based,pathogen_0281,Virus,"[0.6682027204989013, 0.6514145351511232, 0.8243279254389516]",0,"[0.810603037793589, 0.7902371314234531, 1.0]",Hepatitis
sample_0282,Optical,pathogen_0282,Virus,"[0.5041727481220624, 0.2129287647201982, 0.20115274305683847]",1,"[1.0, 0.4223329513808772, 0.3989758347829989]",HIV
sample_0283,Mass-based,pathogen_0283,Bacteria,"[0.535907572869744, 0.7210115031105753, 0.6329926503742288]",1,"[0.7432718764648565, 1.0, 0.8779230950454784]",Salmonella
sample_0284,Electrochemical,pathogen_0284,Bacteria,"[0.5589231414643465, 0.4422903470292764, 0.5082768963260028]",1,"[1.0, 0.7913258804609541, 0.9093860293462649]",Salmonella
sample_0285,Optical,pathogen_0285,Fungi,"[0.07013427978656389, 0.5716969403587597, 0.3059137645700505]",1,"[0.12267737473380948, 1.0, 0.5350977816639686]",Penicillium
sample_0286,Mass-based,pathogen_0286,Bacteria,"[0.5676872708281896, 0.46581210218912406, 0.5452445152625663]",1,"[1.0, 0.8205435036610182, 0.9604663399746802]",L. monocytogenes
sample_0287,Mass-based,pathogen_0287,Fungi,"[0.6943943675100875, 0.3881551951613358, 0.5458041674563684]",1,"[1.0, 0.5589837897924727, 0.7860146812732312]",Candida
sample_0288,Electrochemical,pathogen_0288,Virus,"[0.3879830045367264, 0.44842255447989365, 0.5307478403258835]",1,"[0.731011932707068, 0.8448881378482078, 1.0]",HIV
sample_0289,Optical,pathogen_0289,Fungi,"[0.28197737163061515, 0.4775464475741759, 0.337049540727411]",1,"[0.5904710904310861, 1.0, 0.7057942582120413]",Aspergillus
sample_0290,Mass-based,pathogen_0290,Virus,"[0.849337269039638, 0.68515530360369, 0.4832075610614267]",0,"[1.0, 0.8066940290732895, 0.5689230635172748]",Hepatitis
sample_0291,Optical,pathogen_0291,Virus,"[0.3768962808565502, 0.45656631465147157, 0.6496378538546719]",1,"[0.5801636690660952, 0.7028012791163619, 1.0]",Hepatitis
sample_0292,Electrochemical,pathogen_0292,Bacteria,"[0.46068264317896956, 0.5782055446574914, 0.38663958151711325]",1,"[0.7967454609102058, 1.0, 0.6686888167877133]",Salmonella
sample_0293,Mass-based,pathogen_0293,Bacteria,"[0.6248114985944575, 0.7887330922808679, 0.5587601952422497]",1,"[0.7921710204748986, 1.0, 0.7084274778257627]",E. coli
sample_0294,Mass-based,pathogen_0294,Virus,"[0.6617019279756101, 0.6468749372942427, 0.4622470017000556]",1,"[1.0, 0.9775926439768301, 0.6985728500357244]",Influenza
sample_0295,Optical,pathogen_0295,Bacteria,"[0.33166345217444326, 0.48671479503181697, 0.5167383265864754]",0,"[0.641840241201733, 0.9418979974777736, 1.0]",L. monocytogenes
sample_0296,Mass-based,pathogen_0296,Fungi,"[0.7939158539073824, 0.6178069726983898, 0.6542230515348811]",1,"[1.0, 0.7781768932535547, 0.8240458334658755]",Aspergillus
sample_0297,Electrochemical,pathogen_0297,Virus,"[0.35284040612827916, 0.4195949254077609, 0.6352535107118424]",1,"[0.5554324378827892, 0.6605157127547044, 1.0]",Hepatitis
sample_0298,Mass-based,pathogen_0298,Bacteria,"[0.5418720758922251, 0.4569234707868912, 0.5350190482299705]",1,"[1.0, 0.8432312553374136, 0.9873530525613989]",Salmonella
sample_0299,Optical,pathogen_0299,Bacteria,"[0.2259253999335173, 0.40870504815960884, 0.519212863112938]",0,"[0.435130590908289, 0.7871627942906111, 1.0]",Salmonella
sample_0300,Mass-based,pathogen_0300,Virus,"[0.7495865564517752, 0.31908660002954886, 0.567558211667655]",1,"[1.0, 0.42568346148037856, 0.7571616737021469]",Hepatitis
sample_0301,Electrochemical,pathogen_0301,Virus,"[0.4279055384923329, 0.48210419607799204, 0.4956152358332494]",1,"[0.8633825345843534, 0.9727388530892477, 1.0]",Influenza
sample_0302,Electrochemical,pathogen_0302,Virus,"[0.27420247796835845, 0.4604780816764392, 0.5180130547734068]",1,"[0.5293350726234153, 0.888931422544679, 1.0]",HIV
sample_0303,Optical,pathogen_0303,Virus,"[0.5331233467831087, 0.07543760393329924, 0.35346562212477667]",1,"[1.0, 0.14150121991185208, 0.6630090845910329]",Influenza
sample_0304,Optical,pathogen_0304,Fungi,"[0.3970583776830581, 0.3281522749143929, 0.7599777274022457]",1,"[0.5224605450481847, 0.4317919632146094, 1.0]",Aspergillus
